"Date", "Lever du soleil", "Coucher du soleil", "Durée du jour"
"2020-01-01", "08:44", "17:04", "08:20"
"2020-01-02", "08:44", "17:05", "08:21"
"2020-01-03", "08:44", "17:06", "08:22"
"2020-01-04", "08:44", "17:07", "08:23"
"2020-01-05", "08:43", "17:08", "08:25"
"2020-01-06", "08:43", "17:09", "08:26"
"2020-01-07", "08:43", "17:10", "08:27"
"2020-01-08", "08:43", "17:12", "08:29"
"2020-01-09", "08:42", "17:13", "08:31"
"2020-01-10", "08:42", "17:14", "08:32"
"2020-01-11", "08:41", "17:15", "08:34"
"2020-01-12", "08:41", "17:17", "08:36"
"2020-01-13", "08:40", "17:18", "08:38"
"2020-01-14", "08:40", "17:19", "08:40"
"2020-01-15", "08:39", "17:21", "08:42"
"2020-01-16", "08:38", "17:22", "08:44"
"2020-01-17", "08:37", "17:24", "08:46"
"2020-01-18", "08:37", "17:25", "08:49"
"2020-01-19", "08:36", "17:27", "08:51"
"2020-01-20", "08:35", "17:28", "08:53"
"2020-01-21", "08:34", "17:30", "08:56"
"2020-01-22", "08:33", "17:31", "08:58"
"2020-01-23", "08:32", "17:33", "09:01"
"2020-01-24", "08:31", "17:34", "09:03"
"2020-01-25", "08:30", "17:36", "09:06"
"2020-01-26", "08:29", "17:37", "09:09"
"2020-01-27", "08:28", "17:39", "09:11"
"2020-01-28", "08:26", "17:41", "09:14"
"2020-01-29", "08:25", "17:42", "09:17"
"2020-01-30", "08:24", "17:44", "09:20"
"2020-01-31", "08:23", "17:45", "09:23"
"2020-02-01", "08:21", "17:47", "09:26"
"2020-02-02", "08:20", "17:49", "09:29"
"2020-02-03", "08:18", "17:50", "09:32"
"2020-02-04", "08:17", "17:52", "09:35"
"2020-02-05", "08:16", "17:54", "09:38"
"2020-02-06", "08:14", "17:55", "09:41"
"2020-02-07", "08:12", "17:57", "09:44"
"2020-02-08", "08:11", "17:59", "09:48"
"2020-02-09", "08:09", "18:00", "09:51"
"2020-02-10", "08:08", "18:02", "09:54"
"2020-02-11", "08:06", "18:04", "09:57"
"2020-02-12", "08:04", "18:05", "10:01"
"2020-02-13", "08:03", "18:07", "10:04"
"2020-02-14", "08:01", "18:09", "10:07"
"2020-02-15", "07:59", "18:10", "10:11"
"2020-02-16", "07:58", "18:12", "10:14"
"2020-02-17", "07:56", "18:13", "10:18"
"2020-02-18", "07:54", "18:15", "10:21"
"2020-02-19", "07:52", "18:17", "10:24"
"2020-02-20", "07:50", "18:18", "10:28"
"2020-02-21", "07:49", "18:20", "10:31"
"2020-02-22", "07:47", "18:22", "10:35"
"2020-02-23", "07:45", "18:23", "10:38"
"2020-02-24", "07:43", "18:25", "10:42"
"2020-02-25", "07:41", "18:26", "10:45"
"2020-02-26", "07:39", "18:28", "10:49"
"2020-02-27", "07:37", "18:30", "10:52"
"2020-02-28", "07:35", "18:31", "10:56"
"2020-02-29", "07:33", "18:33", "11:00"
"2020-03-01", "07:31", "18:34", "11:03"
"2020-03-02", "07:29", "18:36", "11:07"
"2020-03-03", "07:27", "18:38", "11:10"
